1	1	685265.56	8349089	1	49	12	2	1.3333334	1	0.68800002	1	5.1399999	0.5	1	0	49.655174	0	24.827587	0	74.482758	0.86900002	0	2.1979001	1.8212	0.40000001	0	0.27520001	0.41280001	0	0	0	0	0.27520001	0.41280001	2	3	1	200	0	1	2	3	1	11	8349717	685076	0.68800002	1	128	1	2	3	0	0	0	0	1	1936.4099	1332.25	0	0	36	56	16	0	57	53	0	108	200	100.2907	30.523256	0	290.69766	0	0	0	0	0	0.1355487	385.8931	148.96552	107.5862	6.6206899	122.72069	1	0.073776282	45.476315	139.26712	1.0097262	940	15.822871	6.5422726	1.828822	46.281643	1.1918147	44.516251	37.784214	22.233475	10.857781	0	4	59.965401	127	-1	0	0	898.96234	2	107.6	0.037	2
2	1	685286.25	8349089	1	75	10	3	8	1	0.86455202	1	8.1920004	0.25	1	0.01	27.586206	0	68.965515	0	96.551727	0.48010001	0	2.2550001	1.5979	0.37333333	0	0	0.69164163	0.17291041	0	0	0	0	0.86455202	0	5	2	100	1500	1	2	3	1	21	8348076	684450	0.86455202	1	33	2	0	4	1	0	0	0	1	924.58289	799.34998	0	0	10	14	14	14	22	0	28	52	100	39.90506	12.145019	0	115.66684	1500	1735.0027	9.0220137	3.1230047	9.1955137	0.30819431	231.53586	71.724136	53.103447	13.793103	92.915169	2	0.073563308	42.654293	110.59003	1.0725546	978	4.9754806	7.0194688	1.710934	40.688313	1.2294366	45.800426	37.719353	15.166807	8.6839714	7.5505085	4	162.33273	116	186.34019	-0.052347936	-0.38606605	1209.0486	2	53.099998	0.048999999	1
3	1	685255.44	8349105	1	65	3	0	0	1	0.51590002	1	1	0	1	0.059999999	0	0	0	0	0	0	0	0.92129999	0.50580001	0	0	0.20636	0	0.10318	0	0	0.20636	0.20636	0.10318	2	1	1	100	0	1	3	3	1	31	8348113	684517	0.51590002	2	3	1	2	0	1	0	0	2	1	1032.9521	773.41431	0.16317116	0.16317116	14	28	8	0	51	0	0	50	100	66.873428	20.352781	0	193.83601	0	0	0	0	0	0.51647604	224.02345	68.965515	54.455173	7.5862069	93.016548	1	0.075138718	67.319939	111.54378	0.92644501	991	6.0207973	5.0060215	1.6428499	40.431152	1.2623014	34.886887	41.096973	23.970524	6.4698505	3.7752542	1	626.62341	120	96.340195	-0.18354495	0.2614125	3644.7253	3	54.5	0.025	2
4	1	686064.25	8348708.5	1	41	8	2	2	0	0.60535002	2	3.724	2	0	0	0	0	248.27586	0	248.27586	0	0.25889999	1.7421	1.3627	0.26666668	0	0.353194	0.22210801	0.020032	0	0.010016	0	0.36320999	0.24214	3	4	3	50	200	1	2	3	1	41	8348769	686233	0.55527002	2	51	2	3	2	0	0	0	0	1	575.828	319.73999	0	0	116	96	5	48	131	124.4	0	265	50	31.065968	9.4548597	0	90.046288	200	360.18515	1.8729627	0.64833325	1.9089812	5.0864806	92.614342	365.51724	10.344828	3.724138	-286.97186	2	0.064757787	22.447689	144.09123	0.79430294	933	7.8551664	6.3568869	1.8513335	43.406071	1.2230568	35.524612	40.382866	21.27165	5.5431838	3.3352566	64	871.62939	132	0	0	-0.22247873	898.96234	0	10.3	0.63	2
4	1	686064.25	8348708.5	1	41	8	2	2	0	0.60535002	2	3.724	2	0	0	0	0	248.27586	0	248.27586	0	0.25889999	1.7421	1.3627	0.26666668	0	0.353194	0.22210801	0.020032	0	0.010016	0	0.36320999	0.24214	3	4	3	50	200	1	2	3	2	42	8348590	685855	0.050080001	1	55	5	2	0	2	0	1	0	1	0	66.666664	0	0	12	12	0	0	6	16.6	0	24	0	0	0	0	0	0	0	0	0	0	10.640974	19.310345	33.103447	0	0.68965518	-14.482759	1	0.066636406	40.961395	148.9883	0.80444443	922	1.1570612	8.3334188	1.704749	42.990456	1.2514776	38.198555	38.575855	22.71026	6.6968889	1.6676283	1	614.20416	124	90	0	0.11123937	2363.491	8	0	0	2
5	1	685977.5	8348912	1	74	3	1	1	0	0.71906	3	2.2019999	2	0	0.30000001	0	0	82.758621	0	82.758621	0.86900002	0	1.7421	1.5707	0	0	0.46998	0.216602	0.032478001	0	0	0	0.46998	0.24908	2.3333333	8	4	140	200	1	0	2	1	51	8349906	685286	0.52556998	2	63	2	4	1	0	0	0	0	1	912.55206	479.60999	0	0	30	14	9	4	15	39	0	57	100	65.643013	19.97831	0	190.26961	125	237.83702	1.2367525	0.42810664	1.2605362	0	138.92152	78.620689	55.172413	0	5.1284137	2	0.070545621	64.075958	163.28104	0.82168758	924	6.6919708	6.5049248	2.0031211	46.298065	1.2219434	43.683125	37.270279	16.997723	9.1086941	0	1	854.06598	127	-1	0	0	898.96234	0	55.200001	0.012	1
5	1	685977.5	8348912	1	74	3	1	1	0	0.71906	3	2.2019999	2	0	0.30000001	0	0	82.758621	0	82.758621	0.86900002	0	1.7421	1.5707	0	0	0.46998	0.216602	0.032478001	0	0	0	0.46998	0.24908	2.3333333	8	4	140	200	1	0	2	2	52	8348959	685931	0.13936	1	63	2	1	4	0	0	0	0	1	764.78186	106.58	0	0	28	7	4	3	14	25.200001	0	42	40	99.024109	30.137774	0	287.0264	75	538.1745	2.7985075	0.96871412	2.852325	1.5498708	30.871449	57.931034	22.068966	0	-49.128551	2	0.058648475	76.831779	223.00433	0.71536165	941	12.843344	5.7705479	1.7441055	42.541073	1.2341388	62.01836	21.888206	13.730674	10.821957	8.3381414	1	324.66547	114	90	0	-0.55619681	898.96234	1	22.1	0.012	1
5	1	685977.5	8348912	1	74	3	1	1	0	0.71906	3	2.2019999	2	0	0.30000001	0	0	82.758621	0	82.758621	0.86900002	0	1.7421	1.5707	0	0	0.46998	0.216602	0.032478001	0	0	0	0.46998	0.24908	2.3333333	8	4	140	200	1	0	2	3	53	8348991	685942	0.054129999	1	63	3	2	0	3	0	0	0	1	0	120.25714	0.77757251	0.77757251	4	4	0	0	0	7.1999998	0	8	0	0	0	0	0	0	0	0	0	0	8.3942366	34.833103	11.034483	0	4.1379309	19.66069	1	0.059241809	56.758671	155.89839	0.82574242	949	10.212444	5.534409	1.7856934	45.496281	1.2263898	41.317291	37.453411	20.443687	7.273397	2.9479783	1	806.51971	123	81.869896	0	0.22247873	1816.5903	1	0	0	1
6	1	685990.75	8348540.5	1	55	8	1	1	0	1.40495	5	2.8399999	0	1	1.35	82.758621	165.51724	248.27586	0	496.55173	2.8499999	0.25889999	2.7107999	3.5912001	0	0	0.261886	0.91110402	0	0.23196	0	0	0.493846	0.91110402	3	10	5	225.5	200	1	1	1	1	61	8347826	685451	0.79710001	1	21	2	1	4	0	0	0	0	1	3743.8716	3211.2495	0.070405222	0.070405222	12	36	12	0	44	16	0	60	150	64.922844	19.759127	0	188.18216	0	0	0	0	0	0.86549991	930.15503	82.758621	110.34483	20.689655	716.36194	3	0.060795594	52.222954	174.77492	0.77044982	954	4.7723908	6.531507	1.7710837	44.250637	1.2362065	45.197083	34.008583	21.755648	9.2231445	6.1555591	2	579.07709	123	208.30075	0.17969437	0.29093373	1284.1068	21	83.800003	0	1
6	1	685990.75	8348540.5	1	55	8	1	1	0	1.40495	5	2.8399999	0	1	1.35	82.758621	165.51724	248.27586	0	496.55173	2.8499999	0.25889999	2.7107999	3.5912001	0	0	0.261886	0.91110402	0	0.23196	0	0	0.493846	0.91110402	3	10	5	225.5	200	1	1	1	2	62	8349382	684547	0.28492999	1	18	2	1	4	0	0	0	0	1	2244.3408	639.47998	0	0	54	8	6	0	48	16.4	0	68	50	40.36079	36.851158	0	175.4817	0	0	0	0	0	0.48246938	185.22868	93.793106	41.379311	0	50.056274	2	0.059666906	58.528252	233.15845	0.60735667	962	1.1702042	8.3447132	1.9621568	54.366955	1.1359301	31.956724	41.01918	26.698833	11.72649	0	255	0	127	-1	0	0	898.96234	0	29	0	1
