6	1	685990.78	8348540.32	1.00	55.00	8.00	1.00	1.00	0.00	1.40	5.00	2.84	0.00	1.00	1.35	82.76	165.52	248.28	0.00	496.55	2.85	0.26	2.71	3.59	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.91	0.00	0.23	0.00	0.00	0.49	0.91	3.00	10.00	5.00	225.50	200.00	1.00	1.00	1.00	6.62	20.69	27.31	27.31	3.00	0.00	0.00	2.00	1.00	0.00	1.00	61.00	8347826.00	685451.00	0.80	1.00	21.00	2.00	1.00	4.00	0.00	0.00	0.00	0.00	1.00	3743.87	3211.25	0.07	0.07	12.00	36.00	12.00	0.00	44.00	16.00	0.00	60.00	150.00	64.92	19.76	0.00	188.18	0.00	0.00	0.00	0.00	0.00	0.87	930.16	82.76	83.79	0.00	20.69	742.91	3.00	0.56	0.56
6	1	685990.78	8348540.32	1.00	55.00	8.00	1.00	1.00	0.00	1.40	5.00	2.84	0.00	1.00	1.35	82.76	165.52	248.28	0.00	496.55	2.85	0.26	2.71	3.59	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.91	0.00	0.23	0.00	0.00	0.49	0.91	3.00	10.00	5.00	225.50	200.00	1.00	1.00	1.00	6.62	20.69	27.31	27.31	3.00	0.00	0.00	2.00	1.00	0.00	2.00	62.00	8349382.00	684547.00	0.28	1.00	18.00	2.00	1.00	4.00	0.00	0.00	0.00	0.00	1.00	2244.34	639.48	0.00	0.00	54.00	8.00	6.00	0.00	48.00	16.40	0.00	68.00	50.00	40.36	36.85	0.00	175.48	0.00	0.00	0.00	0.00	0.00	0.48	185.23	93.79	28.97	0.00	0.00	62.47	2.00	0.58	0.58
6	1	685990.78	8348540.32	1.00	55.00	8.00	1.00	1.00	0.00	1.40	5.00	2.84	0.00	1.00	1.35	82.76	165.52	248.28	0.00	496.55	2.85	0.26	2.71	3.59	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.91	0.00	0.23	0.00	0.00	0.49	0.91	3.00	10.00	5.00	225.50	200.00	1.00	1.00	1.00	6.62	20.69	27.31	27.31	3.00	0.00	0.00	2.00	1.00	0.00	4.00	64.00	8348538.00	685989.00	0.07	1.00	22.00	4.00	0.00	0.00	0.00	5.00	0.00	0.00	1.00	1104.23	79.94	0.00	0.00	6.00	9.00	6.00	18.00	26.00	12.60	0.00	39.00	25.00	79.43	72.52	0.00	345.35	200.00	2762.81	14.37	4.97	14.64	8.52	23.15	53.79	13.79	0.05	0.00	-44.43	2.00	0.55	0.58
7	1	685943.05	8348849.97	1.00	21.00	6.00	2.00	1.00	1.00	0.60	3.00	2.05	0.50	1.00	0.01	11.03	0.00	0.00	0.00	11.03	0.39	0.00	1.74	1.28	0.31	0.20	0.40	0.07	0.67	0.00	0.35	0.06	0.06	0.00	0.00	0.12	0.35	0.13	3.33	2.00	1.00	60.00	0.00	1.00	3.00	3.00	11.03	13.24	24.28	24.28	3.00	1.00	0.00	1.00	1.00	0.00	1.00	71.00	8349101.00	685149.00	0.31	1.00	4.00	1.00	2.00	1.00	1.00	0.00	0.00	1.00	1.00	296.88	93.26	0.00	0.00	4.00	8.00	4.00	0.00	9.00	8.60	0.00	16.00	10.00	10.98	3.34	0.00	31.83	0.00	0.00	0.00	0.00	0.00	1.70	27.01	22.07	8.28	0.00	3.45	-6.78	1.00	0.83	0.83
7	1	685943.05	8348849.97	1.00	21.00	6.00	2.00	1.00	1.00	0.60	3.00	2.05	0.50	1.00	0.01	11.03	0.00	0.00	0.00	11.03	0.39	0.00	1.74	1.28	0.31	0.20	0.40	0.07	0.67	0.00	0.35	0.06	0.06	0.00	0.00	0.12	0.35	0.13	3.33	2.00	1.00	60.00	0.00	1.00	3.00	3.00	11.03	13.24	24.28	24.28	3.00	1.00	0.00	1.00	1.00	0.00	2.00	72.00	8348732.00	685880.00	0.06	3.00	4.00	1.00	4.00	0.00	0.00	0.00	0.00	1.00	2.00	4148.37	266.45	0.00	0.00	28.00	14.00	4.00	0.00	23.00	20.20	0.00	46.00	50.00	268.57	81.74	0.00	778.45	0.00	0.00	0.00	0.00	0.00	6.55	77.18	63.45	30.34	0.00	3.45	-20.06	1.00	0.61	0.61
7	1	685943.05	8348849.97	1.00	21.00	6.00	2.00	1.00	1.00	0.60	3.00	2.05	0.50	1.00	0.01	11.03	0.00	0.00	0.00	11.03	0.39	0.00	1.74	1.28	0.31	0.20	0.40	0.07	0.67	0.00	0.35	0.06	0.06	0.00	0.00	0.12	0.35	0.13	3.33	2.00	1.00	60.00	0.00	1.00	3.00	3.00	11.03	13.24	24.28	24.28	3.00	1.00	0.00	1.00	1.00	0.00	3.00	73.00	8349229.00	684407.00	0.22	1.00	4.00	1.00	4.00	0.00	0.00	0.00	0.00	1.00	0.00	1218.78	266.45	0.00	0.00	14.00	28.00	2.00	0.00	23.00	21.60	0.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.71	77.18	60.69	0.00	0.00	0.00	16.49	1.00	0.00	0.00
8	1	685878.14	8349122.80	1.00	40.00	6.00	2.00	2.00	1.00	1.74	4.00	4.14	0.67	1.00	0.03	33.10	0.00	0.00	0.00	33.10	1.26	0.76	1.38	2.06	0.45	0.20	0.40	0.21	0.81	0.00	0.62	0.40	0.16	0.00	0.00	0.55	0.62	0.57	1.50	7.00	2.00	360.00	0.00	1.00	1.00	2.00	1.66	0.00	1.66	1.66	5.00	1.00	1.00	1.00	2.00	0.00	2.00	82.00	8349172.00	684405.00	0.27	1.00	59.00	1.00	1.00	1.00	3.00	0.00	0.00	0.00	2.00	1952.73	532.90	0.00	0.00	28.00	10.00	0.00	0.00	20.00	17.20	0.00	38.00	150.00	189.63	57.71	0.00	549.65	0.00	0.00	0.00	0.00	0.00	3.91	154.36	52.41	46.21	0.45	11.03	44.70	1.00	0.31	0.56
8	1	685878.14	8349122.80	1.00	40.00	6.00	2.00	2.00	1.00	1.74	4.00	4.14	0.67	1.00	0.03	33.10	0.00	0.00	0.00	33.10	1.26	0.76	1.38	2.06	0.45	0.20	0.40	0.21	0.81	0.00	0.62	0.40	0.16	0.00	0.00	0.55	0.62	0.57	1.50	7.00	2.00	360.00	0.00	1.00	1.00	2.00	1.66	0.00	1.66	1.66	5.00	1.00	1.00	1.00	2.00	0.00	3.00	83.00	8349153.00	685843.00	0.40	10.00	0.00	9.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
8	1	685878.14	8349122.80	1.00	40.00	6.00	2.00	2.00	1.00	1.74	4.00	4.14	0.67	1.00	0.03	33.10	0.00	0.00	0.00	33.10	1.26	0.76	1.38	2.06	0.45	0.20	0.40	0.21	0.81	0.00	0.62	0.40	0.16	0.00	0.00	0.55	0.62	0.57	1.50	7.00	2.00	360.00	0.00	1.00	1.00	2.00	1.66	0.00	1.66	1.66	5.00	1.00	1.00	1.00	2.00	0.00	1.00	81.00	8348975.00	684718.00	0.68	1.00	57.00	1.00	3.00	2.00	0.00	0.00	0.00	0.00	2.00	4133.24	2824.37	0.00	0.00	60.00	12.00	6.00	0.00	40.00	34.00	0.00	78.00	110.00	70.68	3.07	0.00	160.98	0.00	0.00	0.00	0.00	0.00	3.44	818.09	107.59	41.38	0.31	21.79	647.33	1.00	0.38	0.54
8	1	685878.14	8349122.80	1.00	40.00	6.00	2.00	2.00	1.00	1.74	4.00	4.14	0.67	1.00	0.03	33.10	0.00	0.00	0.00	33.10	1.26	0.76	1.38	2.06	0.45	0.20	0.40	0.21	0.81	0.00	0.62	0.40	0.16	0.00	0.00	0.55	0.62	0.57	1.50	7.00	2.00	360.00	0.00	1.00	1.00	2.00	1.66	0.00	1.66	1.66	5.00	1.00	1.00	1.00	2.00	0.00	5.00	85.00	8349043.07	684778.57	0.38	1.00	3.00	2.00	2.00	1.00	0.00	0.00	0.00	2.00	1.00	1114.15	506.49	0.07	0.07	28.00	6.00	0.00	0.00	18.00	15.20	0.00	34.00	100.00	75.14	41.16	0.00	261.34	0.00	0.00	0.00	0.00	0.00	0.28	146.71	46.90	15.17	0.73	0.00	84.64	2.00	0.15	0.57
