1	1	11	0.688	1	128	1	2	3	0	0	0	0	1	1.33225	1332.25	0	0	36	56	16	0	57	53	0	108	100.2906977	30.52325581	0	290.6976744	0	0	0	0	0	0.135548692	385.8931034	148.9655172	107.5862069	162.3897354	6.620689655	122.7206897	67.91716119
2	1	21	0.864552	1	33	2	0	4	1	0	0	0	1	0.79935	799.35	0	0	10	14	14	14	22	0	28	52	39.90506066	12.14501846	0	115.6668425	1500	1735.002637	9.022013713	3.123004747	9.195513977	0.308194302	231.5358621	71.72413793	53.10344828	64.61389132	13.79310345	92.91517241	81.40472937
3	1	31	0.5159	2	3	1	2	0	1	0	0	2	1	0.5329	1.499155429	0.163171157	0.163171157	14	28	8	0	51	0	0	50	66.87342508	20.35278155	0	193.8360147	0	0	0	0	0	0.516476061	434.2381242	133.6800102	105.553736	108.2808082	14.70480112	180.2995769	177.5725047
4	1	41	0.55527	2	51	2	3	2	0	0	0	0	1	0.31974	319.74	0	0	116	96	5	48	131	124.4	0	265	31.06596791	9.454859798	0	90.04628379	200	360.1851352	1.872962703	0.648333243	1.908981216	5.086480451	92.61434483	365.5172414	10.34482759	50.30171715	3.724137931	-286.9718621	-326.9287516
4	2	42	0.05008	1	55	5	2	0	2	0	1	0	1	0	66.66666667	0	0	12	12	0	0	6	16.6	0	24	0	0	0	0	0	0	0	0	0	10.64097444	19.31034483	33.10344828	0	0	0.689655172	-14.48275862	-14.48275862
5	1	51	0.52557	2	63	2	4	1	0	0	0	0	1	0.47961	479.61	0	0	30	14	9	4	15	39	0	57	65.64301615	19.97830926	0	190.269612	125	237.8370151	1.236752478	0.428106627	1.26053618	0	138.9215172	78.62068966	55.17241379	106.2885419	0	5.128413793	-45.98771431
5	2	52	0.13936	1	63	2	1	4	0	0	0	0	1	0.10658	106.58	0	0	28	7	4	3	14	25.2	0	42	99.02411022	30.13777268	0	287.0264064	75	538.1745121	2.798507463	0.968714122	2.852324914	1.549870838	30.87144828	57.93103448	22.06896552	160.3388891	0	-49.12855172	-187.3984753
5	3	53	0.05413	1	63	3	2	0	3	0	0	0	1	0	2.221635745	0.777572511	0.777572511	4	4	0	0	0	7.2	0	8	0	0	0	0	0	0	0	0	0	8.394236098	643.5082847	203.8515196	0	0	76.44431987	363.2124451	363.2124451
6	1	61	0.7971	1	21	2	1	4	0	0	0	0	1	2.98424	4.028665818	0.070405219	0.070405219	12	36	12	0	44	16	0	60	64.92284531	19.75912683	0	188.1821603	0	0	0	0	0	0.865499937	1166.923892	103.8246402	138.4328536	105.1224482	25.95616005	898.7102384	932.0206438
6	2	62	0.28493	1	18	2	1	4	0	0	0	0	1	0.63948	639.48	0	0	54	8	6	0	48	16.4	0	68	40.36079037	36.85115642	0	175.4816973	0	0	0	0	0	0.482469378	185.2286897	93.79310345	41.37931034	101.6583626	0	50.05627586	-10.22277634
6	3	63	0.1137	1	9	2	2	2	0	1	0	0	1	0.15987	200.1057143	0	0.12385664	6	26	6	0	32	5.6	0	38	0	0	0	0	0	0	0	0	0	0.937379068	57.96165517	52.4137931	0	0	4.137931034	1.409931034	1.409931034
6	4	64	0.07239	1	22	4	0	0	0	5	0	0	1	0.079935	79.935	0	0	6	9	6	18	26	12.6	0	39	79.43086062	72.52382926	0	345.3515679	200	2762.812543	14.36662522	4.973062578	14.64290648	8.524381821	23.15358621	53.79310345	13.79310345	200.0657359	0	-44.43262069	-230.7052531
6	5	65	0.13683	1	11	4	0	0	0	5	0	0	1	0.31974	319.74	0	0	9	9	6	0	16	7.4	0	24	1.680917927	0	0	3.654169407	0	0	0	0	0	7.010304758	92.61434483	33.10344828	0.275862069	1.965691129	0	59.23503448	57.54520542
7	1	71	0.31413	1	4	1	2	1	1	0	0	1	1	0.0932575	93.2575	0	0	4	8	4	0	9	8.6	0	16	10.98271416	3.34256518	0	31.8339541	0	0	0	0	0	1.696431414	27.01251724	22.06896552	8.275862069	17.78310539	3.448275862	-6.780586207	-16.28782953
7	2	72	0.06423	3	4	1	4	0	0	0	0	1	2	0.26645	266.45	0	0	28	14	4	0	23	20.2	0	46	268.5660906	81.73750584	0	778.4524366	0	0	0	0	0	6.553012611	77.17862069	63.44827586	30.34482759	434.859637	3.448275862	-20.06275862	-424.577568
7	3	73	0.21862	1	4	1	4	0	0	0	0	1	0	0.26645	266.45	0	0	14	28	2	0	23	21.6	0	44	0	0	0	0	0	0	0	0	0	1.706294026	77.17862069	60.68965517	0	0	0	16.48896552	16.48896552
8	1	81	0.68333	1	57	1	3	2	0	0	0	0	2	2.82437	2824.37	0	0	60	12	6	0	40	34	0	78	70.68327163	3.073185723	0	160.976395	0	0	0	0	0	3.443797287	818.0933793	107.5862069	11.03448276	87.19975253	21.79310345	677.6795862	601.5143164
8	2	82	0.2729	1	59	1	1	1	3	0	0	0	2	0.5329	532.9	0	0	28	10	0	0	20	17.2	0	38	189.6299011	57.71344815	0	549.6518871	0	0	0	0	0	3.905459875	154.3572414	52.4137931	46.20689655	307.0469163	11.03448276	44.70206897	-216.1379507
8	3	83	0.4	10	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36725	0	0	0	0	0	0	0
8	4	84	0.4	1	4	3	2	0	2	0	0	1	1	0.15987	0.800532143	0.1403	0.1403	70	15	0	0	48	27.4	0	85	0	0	0	0	0	0	0	0	0	0.168225	231.8782759	293.1034483	0	0	0	-61.22517241	-61.22517241
