1	1	685265.56	8349089.04	1	49	12	2	1	5.14	0.5	0	49.655	0	24.828	0	0.869	0	2.1979	0.4	0	1	0.688	0.4128	1	1	2	0	200	3
2	1	685286.22	8349089.1	1	75	10	3	1	8.192	0.25	0.01	27.586	0	68.966	0	0.4801	0	2.255	0.373	0	1	0.86455	0.8646	2	1	2	1500	100	3
3	1	685255.46	8349105.05	1	65	3	0	1	1	0	0.06	0	0	0	0	0	0	0.9213	0	0	1	0.5159	0.1032	1	1	3	0	100	3
4	1	686064.28	8348708.39	1	41	8	2	0	3.724	2	0	0	0	248.276	0	0	0.2589	1.7421	0.267	0	2	0.60535	0.2421	3	1	2	200	50	3
5	1	685977.53	8348912	1	74	3	1	0	2.202	2	0.3	0	0	82.759	0	0.869	0	1.7421	0	0	3	0.71906	0.2491	4	1	0	200	140	2
6	1	685990.78	8348540.32	1	55	8	1	0	2.84	0	1.35	82.759	165.517	248.276	0	2.85	0.2589	2.7108	0	0	5	1.40495	0.9111	5	1	1	200	225.5	1
7	1	685943.05	8348849.97	1	21	6	2	1	2.052	0.5	0.01	11.034	0	0	0	0.3889	0	1.7421	0.307	0	3	0.59698	0.1257	1	1	3	0	60	3
8	1	685878.14	8349122.8	1	40	6	2	1	4.14	0.667	0.03	33.103	0	0	0	1.2579	0.7599	1.3771	0.44	0	5	2.13887	0.7282	2	1	1	0	360	2
9	1	686004.87	8348567.65	1	50	7	1	1	3.644	2	0.03	0	0	0	0	0.3889	0	3.1192	0.2	0	2	1.22369	0.0529	3	1	1	100	50	3
10	1	685884.39	8348930.32	1	40	8	1	1	3.208	2.5	0.21	0	0	206.897	0	0.3889	0	1.8329	0	1	2	0.75524	0.565	2	1	1	215	0	3
11	1	685918.89	8348897.74	1	68	8	2	1	4.652	1	9.33	0	0	482.759	0	0.869	-0.0197	3.1666	0.067	0	3	1.32703	0.6168	2	1	1	0	150	2
12	1	686031.8	8348931.39	1	37	5	1	1	2.052	0.5	0.04	0	0	206.207	0	0	0	1.7338	0	1	1	0.24566	0.0491	1	1	1	100	50	3
13	1	685960.13	8349124.26	1	41	8	2	1	2.864	1.5	0.49	91.034	26.207	110.345	275.862	0.869	0.2589	3.1666	0.2	0	2	2.44546	1.7679	3	1	1	0	100	2
14	1	685927.85	8349054.25	1	51	0	2	0	4.128	1	0.01	0	0	358.621	9.655	0.3889	0	2.3361	0.333	1	3	0.92047	0.1728	2	1	1	0	100	2
15	1	685989.59	8349079.88	1	40	7	2	1	3.472	1.5	2.03	132.414	73.103	537.931	0	1.0363	0.7767	3.1192	0	1	5	1.68471	0.7734	2	1	1	345	150	2
16	1	685969.94	8349071.4	1	21	5	1	1	2.264	1	0.2	0	5.517	130.759	0	0	0	0.4558	0	0	2	0.07679	0	1	1	3	100	10	3
17	1	686009.86	8349002.16	1	45	3	2	0	2.68	0	1	16.552	74.483	27.586	0	0	0	1.3674	0	0	2	0.27725	0.1005	3	1	1	200	100	2
18	1	685992.12	8349100.11	1	30	10	2	1	2.224	1	0.05	82.759	15.448	89.655	0	0.869	0.2589	1.3771	0.473	0	2	0.81178	0.3271	2	1	1	0	200	3
19	1	685667.68	8348567.62	1	27	0	1	1	2.224	1	0.04	49.655	16.552	0	0	0.869	0	1.2766	0.3	0	2	0.55734	0.246	3	1	0	0	50	3
20	1	686039.85	8348625.25	1	30	5	2	0	2.996	2	0.2	103.172	0	0	0	0	0	1.8232	0	0	2	0.54598	0.145	3	0	1	400	100	2
21	1	685666.92	8348872.15	1	70	3	1	0	2.276	6	5.9	0	113.103	0	0	0	0	0.4558	0.473	0	1	0.82123	0	1	0	1	0	150	1
22	1	686009.25	8348315.44	1	60	8	2	1	3.652	0.667	0.9	14.483	0	441.379	0	0.869	0.7599	5.0146	0.067	0	2	2.29078	1.569	3	0	2	0	300	2
23	1	685650.07	8348559.24	1	43	5	1	0	2.724	4	1	0	48.966	198.621	0	0.3889	0	0	0.333	0	3	0.41353	0.1083	3	1	2	127.5	75	3
24	1	685996.87	8348604.79	1	63	8	1	1	2.84	0	1.25	38.621	0	41.379	0	0.3889	0	0.8208	0.373	0	1	0.45	0.09	2	1	0	200	100	3
25	1	685414.82	8348842.45	1	68	4	3	0	4.482	2	0.28	0	0	144.828	0	0	0.2589	1.8329	0.4	1	2	1.96451	1.6184	2	0	1	50	150	2
26	1	685343.05	8348910.95	1	43	4	2	0	3.12	3	0.11	0	0	82.759	0	0.4801	0	2.7445	0.333	0	2	0.71291	0.6369	2	0	1	250	50	2
27	1	686028.9	8348918.57	1	68	6	2	1	3.262	1.5	0.85	16.552	0	68.966	0	0.4801	0	3.1666	0.1	1	1	0.57708	0.5771	5	0	2	200	100	3
28	1	685652.09	8348916.08	1	45	5	2	0	3.16	0.333	2.21	56.138	177.241	0	0	1.1667	0.5178	2.6537	0	1	2	0.83673	0.5144	4	1	1	400	128	1
29	1	686007.04	8348348.54	1	59	4	2	0	3.808	3	0.11	16.552	0	103.448	0	1.1667	0	1.8232	0	1	1	0.41937	0.3355	2	1	0	0	100	2
30	1	685598.22	8349169.67	1	39	12	2	0	2.48	2	0.55	100.69	0	485.517	0	0.3889	0	1.8329	0	0	2	0.79714	0.2248	2	1	2	0	200	3
31	1	685938.43	8348532.65	1	84	4	1	0	0.172	6	0	0	0	38.621	0	0.869	0	0.9213	0	0	2	0.8473	0.6651	4	1	2	400	50	3
32	1	685935.48	8348568.86	1	69	8	1	1	0.59	6	0.1	0	0	137.931	0	0.3889	-0.0197	1.2863	0	0	2	1.2265	1.204	4	1	2	200	40	3
